STATION,STATION_NAME,DATE,TAVG,TMAX,TMIN,TOBS
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120719,-9999,66,54,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120720,-9999,67,56,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120721,-9999,74,54,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120722,-9999,70,54,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120723,-9999,69,55,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120724,-9999,67,56,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120725,-9999,64,55,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120726,-9999,63,54,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120727,-9999,63,53,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120728,-9999,65,53,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120729,-9999,65,53,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120730,-9999,71,54,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120731,-9999,67,55,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120801,-9999,67,54,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120802,-9999,66,53,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120803,-9999,63,53,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120804,-9999,61,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120805,-9999,64,56,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120806,-9999,67,56,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120807,-9999,65,55,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120808,-9999,70,54,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120809,-9999,68,53,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120810,-9999,64,53,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120811,-9999,66,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120812,-9999,62,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120813,-9999,66,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120814,-9999,63,53,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120815,-9999,63,56,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120816,-9999,63,54,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120817,-9999,62,53,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120818,-9999,63,54,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120819,-9999,59,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120820,-9999,61,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120821,-9999,61,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120822,-9999,61,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120823,-9999,63,53,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120824,-9999,68,53,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120825,-9999,59,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120826,-9999,64,55,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120827,-9999,70,56,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120828,-9999,70,56,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120829,-9999,77,54,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120830,-9999,62,54,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120831,-9999,60,55,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120901,-9999,63,53,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120902,-9999,66,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120903,-9999,66,51,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120904,-9999,62,51,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120905,-9999,62,53,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120906,-9999,63,54,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120907,-9999,64,53,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120908,-9999,62,54,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120909,-9999,65,54,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120910,-9999,67,54,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120911,-9999,66,54,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120912,-9999,63,54,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120913,-9999,61,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120914,-9999,62,53,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120915,-9999,60,51,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120916,-9999,60,51,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120917,-9999,62,53,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120918,-9999,62,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120919,-9999,63,54,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120920,-9999,63,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120921,-9999,66,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120922,-9999,70,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120923,-9999,65,49,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120924,-9999,64,53,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120925,-9999,62,51,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120926,-9999,62,51,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120927,-9999,66,51,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120928,-9999,58,50,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120929,-9999,62,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120930,-9999,84,50,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20121001,-9999,90,57,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20121002,-9999,94,64,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20121003,-9999,72,58,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20121004,-9999,66,58,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20121005,-9999,67,57,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20121006,-9999,68,55,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20121007,-9999,62,54,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20121008,-9999,65,54,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20121009,-9999,67,57,-9999
